test,N,run,vary,ttl,fanout,policy,pull_interval_ms,convergence_ms,overhead
policy,20,4,policy=random,10,3,random,0,5.0,200
policy,50,0,policy=first,10,3,first,0,38.0,1407
policy,50,0,policy=random,10,3,random,0,47.0,2037
policy,50,1,policy=first,10,3,first,0,51.0,2201
policy,50,1,policy=random,10,3,random,0,53.0,2264
policy,50,2,policy=first,10,3,first,0,52.0,2002
policy,50,2,policy=random,10,3,random,0,67.0,2637
policy,50,3,policy=first,10,3,first,0,40.0,1393
policy,50,3,policy=random,10,3,random,0,55.0,2188
policy,50,4,policy=first,10,3,first,0,57.0,2326
policy,50,4,policy=random,10,3,random,0,58.0,2038
fanout,10,0,fanout=2,10,2,first,0,3.0,63
fanout,10,0,fanout=3,10,3,first,0,3.0,74
fanout,10,0,fanout=5,10,5,first,0,2.0,71
fanout,10,1,fanout=2,10,2,first,0,3.0,83
fanout,10,1,fanout=3,10,3,first,0,3.0,66
fanout,10,1,fanout=5,10,5,first,0,3.0,73
fanout,10,2,fanout=2,10,2,first,0,3.0,66
fanout,10,2,fanout=3,10,3,first,0,2.0,64
fanout,10,2,fanout=5,10,5,first,0,3.0,87
fanout,10,3,fanout=2,10,2,first,0,2.0,44
fanout,10,3,fanout=3,10,3,first,0,2.0,46
fanout,10,3,fanout=5,10,5,first,0,5.0,128
fanout,10,4,fanout=2,10,2,first,0,2.0,45
fanout,10,4,fanout=3,10,3,first,0,2.0,54
fanout,10,4,fanout=5,10,5,first,0,3.0,92
fanout,20,0,fanout=2,10,2,first,0,6.0,199
fanout,20,0,fanout=3,10,3,first,0,6.0,232
fanout,20,0,fanout=5,10,5,first,0,8.0,281
fanout,20,1,fanout=2,10,2,first,0,6.0,220
fanout,20,1,fanout=3,10,3,first,0,5.0,178
fanout,20,1,fanout=5,10,5,first,0,7.0,285
fanout,20,2,fanout=2,10,2,first,0,5.0,173
fanout,20,2,fanout=3,10,3,first,0,6.0,214
fanout,20,2,fanout=5,10,5,first,0,6.0,257
fanout,20,3,fanout=2,10,2,first,0,7.0,210
fanout,20,3,fanout=3,10,3,first,0,7.0,285
fanout,20,3,fanout=5,10,5,first,0,9.0,307
fanout,20,4,fanout=2,10,2,first,0,9.0,290
fanout,20,4,fanout=3,10,3,first,0,8.0,309
fanout,20,4,fanout=5,10,5,first,0,5.0,227
fanout,50,0,fanout=2,10,2,first,0,54.0,2141
fanout,50,0,fanout=3,10,3,first,0,59.0,2426
fanout,50,0,fanout=5,10,5,first,0,53.0,2073
fanout,50,1,fanout=2,10,2,first,0,64.0,2187
fanout,50,1,fanout=3,10,3,first,0,38.0,1486
fanout,50,1,fanout=5,10,5,first,0,37.0,1676
fanout,50,2,fanout=2,10,2,first,0,50.0,2137
fanout,50,2,fanout=3,10,3,first,0,48.0,2072
fanout,50,2,fanout=5,10,5,first,0,30.0,1169
fanout,50,3,fanout=2,10,2,first,0,46.0,2038
fanout,50,3,fanout=3,10,3,first,0,55.0,2133
fanout,50,3,fanout=5,10,5,first,0,48.0,2001
fanout,50,4,fanout=2,10,2,first,0,54.0,2105
fanout,50,4,fanout=3,10,3,first,0,47.0,1856
fanout,50,4,fanout=5,10,5,first,0,61.0,2241
